Entity,Continent,Gender,Mean BMI 2000,Mean BMI 2004,Mean BMI 2008,Mean BMI 2012,Mean BMI 2016
Myanmar,Asia,Male,20.95264937,21.17194035,21.48846354,21.83473068,22.21915318
Myanmar,Asia,Female,21.81197489,22.04803323,22.36481659,22.71229965,23.07931813
Namibia,Africa,Male,21.7402786,21.98783297,22.34297292,22.67065807,22.98169747
Namibia,Africa,Female,24.19360675,24.49545507,24.8706205,25.19432997,25.4775448
Nauru,Oceania,Male,33.20946995,33.00569127,32.74138304,32.52184628,32.32922718
Nauru,Oceania,Female,34.07069381,33.88928035,33.60361991,33.30838415,33.01809188
Nepal,Asia,Male,21.09386457,21.38464591,21.74093326,22.11458985,22.52026182
Nepal,Asia,Female,20.33778145,20.76874026,21.31511508,21.86070429,22.41241013
Netherlands,Europe,Male,25.3173109,25.58168011,25.87185357,26.04384467,26.12676929
Netherlands,Europe,Female,24.92990521,25.0780029,25.21439874,25.27050073,25.26339015
New Zealand,Oceania,Male,26.94635168,27.28959409,27.68882583,27.99150711,28.23136585
New Zealand,Oceania,Female,26.61082717,26.96199241,27.36468035,27.71215066,28.02995729
Nicaragua,North America,Male,25.40937306,25.67772036,26.00438867,26.30834142,26.60201215
Nicaragua,North America,Female,26.45276572,26.80671509,27.22421488,27.62786701,28.03797758
Niger,Africa,Male,20.62004525,20.84108787,21.10533103,21.28917102,21.4237689
Niger,Africa,Female,21.00440875,21.31984109,21.69767186,22.02029425,22.3111698
Nigeria,Africa,Male,21.85221204,22.06694841,22.32629332,22.50313761,22.62029901
Nigeria,Africa,Female,22.91261574,23.1879553,23.51580442,23.77834441,23.98606195
Niue,Oceania,Male,30.56398145,30.71669552,30.94151725,31.21503329,31.513537
Niue,Oceania,Female,32.04963062,32.35632099,32.72679233,33.0818789,33.4262565
North Korea,Asia,Male,23.0358247,23.2271885,23.51872228,23.85332299,24.24775404
North Korea,Asia,Female,23.12640472,23.25830499,23.47477068,23.73410468,24.01383838
North Macedonia,Europe,Male,26.04377508,26.2788403,26.62028991,26.97701038,27.37197913
North Macedonia,Europe,Female,25.55207259,25.67148218,25.86795647,26.09336683,26.339085
Norway,Europe,Male,26.16506512,26.4760755,26.85594261,27.15122317,27.38326736
Norway,Europe,Female,25.37271462,25.58510611,25.83086891,26.03741628,26.22002205
Oman,Asia,Male,25.19231006,25.40427913,25.68987243,26.04827839,26.43041626
Oman,Asia,Female,26.14325813,26.18207198,26.21888082,26.31397207,26.42924442
Pakistan,Asia,Male,22.1306934,22.41479416,22.73368432,23.02318013,23.3372988
Pakistan,Asia,Female,23.04238044,23.41060796,23.85965449,24.28326382,24.70310544
Palau,Oceania,Male,29.38811301,29.392007,29.46082405,29.55484723,29.62266165
Palau,Oceania,Female,29.64367331,29.68731241,29.75480392,29.7783903,29.7373193
Palestine,Asia,Male,26.62099355,26.91514252,27.29968868,27.72136031,28.15702136
Palestine,Asia,Female,28.55339131,28.84897828,29.19124048,29.54219945,29.90842521
Panama,North America,Male,25.10284883,25.38409539,25.70301203,25.98748712,26.26350401
Panama,North America,Female,26.29233461,26.64932867,27.03757523,27.39444155,27.75588148
Papua New Guinea,Oceania,Male,24.08389361,24.31038839,24.62223968,24.94736734,25.30592447
Papua New Guinea,Oceania,Female,24.13680838,24.51465195,24.98716902,25.43919632,25.89417974
Paraguay,South America,Male,24.94885666,25.25898553,25.68891248,26.13558376,26.59270083
Paraguay,South America,Female,25.17672586,25.53575099,26.00761814,26.49542503,27.00295734
Peru,South America,Male,24.47614059,24.78252829,25.23102809,25.72641802,26.23881223
Peru,South America,Female,25.82678592,26.05706609,26.38073917,26.76410593,27.17670818
Philippines,Asia,Male,22.11456888,22.25009052,22.42822353,22.61619835,22.83917654
Philippines,Asia,Female,22.49240924,22.67979773,22.91692959,23.19382727,23.51832443
Poland,Europe,Male,25.76527535,26.03283043,26.46585731,26.94977305,27.49402668
Poland,Europe,Female,25.36050697,25.46286292,25.65773905,25.86939749,26.091764
Portugal,Europe,Male,25.80460553,26.06887041,26.29788142,26.34225013,26.2877195
Portugal,Europe,Female,25.49985441,25.57121445,25.58333727,25.49918938,25.3448261
Puerto Rico,North America,Male,27.28169222,27.52264003,27.82264795,28.11224211,28.39770066
Puerto Rico,North America,Female,27.6137867,27.81863917,28.07029513,28.32711706,28.60202137
Qatar,Asia,Male,27.35269269,27.61496102,27.97545297,28.39437567,28.82671223
Qatar,Asia,Female,28.88017251,29.14628157,29.48867276,29.87593824,30.2769079
Romania,Europe,Male,24.85002005,25.21710156,25.79766926,26.43755855,27.14276793
Romania,Europe,Female,25.28467736,25.54466836,25.95877503,26.41809925,26.90366715
Russia,Europe,Male,25.06036199,25.24865658,25.52027632,25.743993,25.93945519
Russia,Europe,Female,26.62120228,26.71225699,26.78107079,26.76564659,26.70846311
Rwanda,Africa,Male,20.41227319,20.6290351,20.87177564,21.06301676,21.23847105
Rwanda,Africa,Female,21.29539066,21.61849511,21.99816556,22.34775263,22.67962362
Saint Kitts and Nevis,North America,Male,26.5558552,26.9026518,27.36085338,27.81150931,28.26228291
Saint Kitts and Nevis,North America,Female,28.57868325,29.01087109,29.57722816,30.15092891,30.74227026
Saint Lucia,North America,Male,26.26903236,26.89358755,27.74534734,28.63047805,29.57158453
Saint Lucia,North America,Female,27.7160818,28.24219483,28.91733647,29.61855597,30.39718804
Saint Vincent and the Grenadines,North America,Male,24.77614308,25.09364916,25.51420642,25.93237379,26.34416017
Saint Vincent and the Grenadines,North America,Female,26.47058124,26.85650694,27.34594112,27.82493724,28.30419131
Samoa,Oceania,Male,29.25907079,29.49744413,29.82346571,30.17220268,30.53673108
Samoa,Oceania,Female,32.17143485,32.61195577,33.15197686,33.67510585,34.20507181
Sao Tome and Principe,Africa,Male,22.85464387,23.15878044,23.51738922,23.76718316,23.93923179
Sao Tome and Principe,Africa,Female,24.16853134,24.57365274,25.03582556,25.39846167,25.69329216
Saudi Arabia,Asia,Male,27.0050573,27.19394043,27.44282649,27.74317755,28.06040105
Saudi Arabia,Asia,Female,28.73479662,28.90777836,29.08501397,29.26619499,29.45741901
Senegal,Africa,Male,21.23035447,21.42812927,21.65439622,21.79142854,21.8800931
Senegal,Africa,Female,23.07777973,23.36050987,23.66634783,23.89433686,24.08631639
Serbia,Europe,Male,25.71859476,25.92044138,26.19524163,26.45245454,26.7182548
Serbia,Europe,Female,25.09724359,25.20320971,25.36750249,25.53396959,25.69741733
Seychelles,Africa,Male,24.27291875,24.55962516,24.92204098,25.25762193,25.59593808
Seychelles,Africa,Female,26.82959215,27.11861964,27.4722771,27.80855097,28.15282939
Sierra Leone,Africa,Male,21.44710791,21.62759481,21.81551149,21.89261908,21.90734103
Sierra Leone,Africa,Female,22.66824574,22.93429527,23.21644424,23.40762249,23.54931547
Singapore,Asia,Male,23.70188036,23.8288357,23.99260702,24.1649395,24.35347984
Singapore,Asia,Female,23.43513921,23.36976625,23.28372953,23.21363709,23.15619575
Slovakia,Europe,Male,26.2481628,26.44931728,26.75871852,27.09003705,27.45215582
Slovakia,Europe,Female,25.068934,25.1444331,25.29425466,25.47540925,25.67360232
Slovenia,Europe,Male,25.42579528,25.65719635,25.99077034,26.32612781,26.68745865
Slovenia,Europe,Female,25.62846959,25.80770908,26.07868746,26.36287011,26.66169011
Solomon Islands,Oceania,Male,24.40724459,24.62620222,24.9370709,25.28549987,25.70205635
Solomon Islands,Oceania,Female,25.61452961,25.93327643,26.31245383,26.65685456,26.99404976
Somalia,Africa,Male,21.66097018,21.85977708,22.09774791,22.29790249,22.49655431
